author_name,paper_id
G Marchionini,208320
D Kuokka,1106107
L Harada,1106107
A Hauptmann,14759
P Scheytt,14759
H Wactlar,14759
P Kennedy,14759
J Daniels,1107173
E Rissland,1107173
B Bartell,1107219
G Cottrell,1107219
R Belew,1107219
J Xu,4535
W Bruce,4535
T Kolda,1056704
P Dianne,1056704
W Chang,1108203
D Murthy,1108203
Y Mei,1108203
A Zhang,1108203
D Mladenic,963374
Y Gertner,1109309
S Goldwasser,1109309
T Malkin,1109309
G Flammia,42581
V Zue,42581
B Chor,1110781
N Gilboa,1110781
M Naor,1110781
W Greiff,1111055
S Weiss,1111107
S Kasif,1111107
L Chen,1014165
K Sycara,1014165
R Swan,1112301
J Allan,1112301
K Koskenniemi,1112801
B Michael,267643
J Franklin,267643
D Srivastava,267643
B Jonsson,267643
M Franklin,267643
J Daniels,103549
E Rissland,103549
J Daniels,1115601
E Rissland,1115601
L Ballesteros,186007
W Bruce,186007
B Bartell,1122824
G Cottrell,1122824
R Belew,1122824
M Fang,653349
N Shivakumar,653349
H GarciaMolina,653349
R Motwani,653349
J Ullman,653349
B Velez,1088830
R Weiss,1088830
M Sheldon,1088830
D Gifford,1088830
N Noy,1128240
C Hafner,1128240
P Sheridan,186020
M Wechsler,186020
P Schauble,186020
U Manber,939896
J Karlgren,977337
Y Yang,1116900
J Carbonell,1116900
R Brown,1116900
R Frederking,1116900
C Cardie,1121151
S Mardis,1121151
S Weiss,1129449
S Kasif,1129449
E Brill,1129449
M Choy,1129951
M Kwan,1129951
H Leong,1129951
B Yuwono,1125966
D Lee,1125966
A Tombros,1127423
M Wolverton,1116441
M Lenz,1114914
A Hubner,1114914
M Kunze,1114914
E Bloedorn,97302
I Mani,97302
T Richard,97302
W Cohen,1115732
B Kero,1134671
S Tsur,1134671
C Lin,797093
E Hovy,797093
J Karlgren,1138998
P Raghavan,1139174
G Nutt,1140120
F Berger,1108484
T VanDerWeide,1108484
J David,110509
K Joshua,110509
D Kramer,110509
L Andrea,110509
S Arthur,110509
C Smith,110509
L Rowe,34018
J Boreczky,34018
C Eads,34018
H Schutze,1119430
A Bestavros,29352
M Lenz,272346
M Langheinrich,1154418
A Prof,1154418
D Ipke,1154418
W Prof,1154418
O Etzioni,1154418
L Raschid,48847
Y Chang,48847
B Dorr,48847
Z Lu,1105314
J Callan,1105314
W Bruce,1105314
D Freitag,16218
M Califf,1105107
D Freitag,41264
D Pierce,41264
S Soderland,77782
W Lehnert,77782
E Riloff,109492
W Lehnert,109492
I Newswire,104600
D Radev,104600
K McKeown,104600
S Wermter,23536
E Riloff,23536
G Scheler,23536
E Riloff,23536
M Califf,16212
R Mooney,16212
S Soderland,17096
W Lehnert,17096
E Riloff,58707
H Lytinen,58707
S Soderland,58710
D Fisher,58710
J Aseltine,58710
W Lehnert,58710
D Hardy,58710
M Schwartz,58710
S Kanade,183390
G Neumann,141143
R Backofen,141143
J Baur,141143
M Becker,141143
C Braun,141143
D Freitag,195057
S Soderland,814218
N Hill,814218
R Yangarber,824974
R Grishman,824974
A Kehler,1108272
M Craven,850038
D DiPasquo,850038
D Freitag,850038
A McCallum,850038
T Mitchell,850038
K Nigam,850038
S Slattery,850038
R Mooney,1113851
P Bennett,1113851
L Roy,1113851
S Harabagiu,1123706
D Member,1123706
S Moldovan,1123706
M Johnston,1129836
F Busa,1129836
J Cowie,195056
T Wakao,195056
L Guthrie,195056
W Jin,195056
J Pustejovsky,195056
S Waterman,195056
J Furnkranz,963313
T Mitchell,963313
E Riloff,963313
E Riloff,277725
A Lorenzen,277725
Y Zhang,1133976
J Fessler,1133976
N Clinthorne,1133976
W Leslie,1133976
R Kresge,1133976
I Muslea,1139098
S Minton,1139098
C Knoblock,1139098
A Meyers,1139044
C Macleod,1139044
R Yangarber,1139044
R Grishman,1139044
L Barrett,1139044
R Reeves,1139044
N Kushmerick,16219
D Weld,16219
R Doorenbos,16219
I Muslea,791022
S Minton,791022
C Knoblock,791022
N Ashish,66045
C Knoblock,66045
D Lewis,5040
D Koller,4640
A McCallum,12961
K Nigam,12961
K Nigam,27058
A McCallum,27058
S Thrun,27058
T Mitchell,27058
D Lewis,5043
M Sahami,88355
S Dumais,88355
D Eric,88355
T Kalt,12950
S Chakrabarti,1102553
P Indyk,1102553
S Scott,1109849
S Matwin,1109849
J Lafferty,1111868
P Venable,1111868
D Lewis,5044
E Voorhees,5044
D Harman,5044
J Yang,119740
P Pai,119740
V Honavar,119740
L Miller,119740
L Douglas,207746
B Andrew,207746
K McCallum,207746
J Klavans,1137799
M Kan,1137799
D Mladenic,140045
M Grobelnik,140045
J Callan,6839
J Callan,1108157
M Baldonado,311328
C Chang,311328
L Gravano,311328
A Paepcke,311328
T Mullen,635667
M Wellman,635667
G Kopec,301632
G Marchionini,1110973
C Plaisant,1110973
A Komlodi,1110973
B Cheng,1120440
A Zhang,1120440
R Acharya,1120440
C Sibata,1120440
J French,1130050
C Viles,1130050
J Vidal,1133786
T Mullen,1133786
P Weinstein,1133786
E Durfee,1133786
D Andresen,613033
T Yang,613033
O Egecioglu,613033
O Ibarra,613033
T Smith,613033
M Baldonado,796538
C Chang,796538
L Gravano,796538
A Paepcke,796538
J French,1139853
A Powell,1139853
W Creighton,1139853
X Cheng,612541
R Dolin,612541
M Neary,612541
S Prabhakar,612541
K Ravi,612541
K Wu,612541
D Agrawal,612541
A El,612541
A Freeston,612541
A Singh,612541
T Smith,612541
J Su,612541
D Wu,1140845
D Agrawal,1140845
A El,1140845
A Ambuj,1140845
W Birmingham,24812
E Durfee,24812
T Mullen,24812
M Wellman,24812
T Minka,36031
R Picard,36031
S Brin,36947
J Davis,36947
H GarciaMolina,36947
G Kaiser,595415
S Dossick,595415
W Jiang,595415
J Yang,595415
W Bruce,29467
R Cook,29467
D Wilder,29467
F Korn,240831
B Shneiderman,240831
H Ahonen,244971
B Heikkinen,244971
O Heinonen,244971
P Kilpelinen,244971
W Walsh,682938
M Wellman,682938
D Andresen,613031
L Carver,613031
R Dolin,613031
C Fischer,613031
J Frew,613031
M Goodchild,613031
O Ibarra,613031
R Kothuri,613031
M Larsgaard,613031
B Manjunath,613031
D Nebert,613031
J Simpson,613031
T Smith,613031
T Yang,613031
Q Zheng,613031
L Gravano,337284
C Chang,337284
H GarcaMolina,337284
A Paepcke,337284
V Holmedahl,861422
B Smith,861422
T Yang,861422
H Zhu,861441
T Yang,861441
Q Zheng,861441
D Watson,861441
O Ibarra,861441
T Smith,861441
K Ravi,863788
K Divyakant,863788
A Amr,863788
E Abbadi,863788
A Singh,863788
T Smith,863788
D Wu,860049
D Agrawal,860049
A El,860049
A Ambuj,860049
S Terrence,860049
R Smith,860049
R Fateman,1114663
S Park,1130888
E Durfee,1130888
E Durfee,1133414
T Mullen,1133414
S Park,1133414
J Vidal,1133414
P Weinstein,1133414
A Nica,675318
E Rundensteiner,675318
O Zaane,600593
M Xin,600593
J Han,600593
E Glover,1130885
S Park,1130885
A Arora,1130885
D Kiskis,1130885
E Durfee,1130885
S Park,696599
E Durfee,696599
R Daniel,696599
J Lagoze,696599
D Andresen,1134158
T Yang,1134158
D Stotts,1136532
J Smith,1136532
P Dewan,1136532
K Jeffay,1136532
F Donalson,1136532
D Smith,1136532
S Smith,1136532
J Weiss,1136532
C William,1136532
B Bhargava,782082
M Annamalai,782082
R Prince,1140702
J Su,1140702
H Tang,1140702
Y Zhao,1140702
D Andresen,1140725
T Yang,1140725
O Ibarra,1140725
O Egecioglu,1140725
S Adal,183113
K Candan,183113
S Chen,183113
K Erol,183113
V Subrahmanian,183113
R Rivest,1115987
L Qiao,768938
K Nahrstedt,768938
L Qiao,878885
K Nahrstedt,878885
M Ernst,1102787
G Yuval,1102787
O Goldreich,1119955
S Goldwasser,1119955
S Halevi,1119955
J Gray,1138144
A Kshemkalyani,1138144
M Matyas,1138144
M Peyravian,1138144
G Tsudik,1138144
E Zadok,1139090
I Badulescu,1139090
A Shender,1139090
O Goldreich,2221
R Rivest,2289
A Shamir,2289
L Adleman,2289
R Rivest,76693
T Braun,69013
C Diot,69013
G Tsudik,117723
M Blaze,160005
J Millen,1102498
H Ko,1102498
O Goldreich,97546
S Goldwasser,97546
S Halevi,97546
R Canetti,2170
C Dwork,2170
M Naor,2170
R Ostrovsky,2170
E Caspi,1114604
N Weaver,1114604
M Blaze,1126948
M Strauss,1126948
M Blaze,1137348
Z Dang,860655
R Kemmerer,860655
T Kozlowski,1139122
S Smolka,1139122
M Bellare,680891
S Halevi,680891
A Sahai,680891
S Vadhan,680891
M Bellare,2141
O Goldreich,2141
S Goldwasser,2141
O Goldreich,2220
R Impagliazzo,2247
M Naor,2247
M Blaze,5761
R Boyer,7356
J Strother,7356
M Wiener,76717
R Molva,24681
G Tsudik,24681
E VanHerreweghen,24681
S Zatti,24681
T Ylonen,70871
A Aziz,1106529
M Patterson,1106529
P Rogaway,76686
D Coppersmith,76686
L Paulson,76686
D Boneh,119323
M Franklin,119323
U Manber,159041
M Blaze,168067
S Bellovin,173422
L Gong,184757
N Shacham,184757
I Agi,230928
L Gong,230928
D Boneh,883247
C Dunworth,883247
R Lipton,883247
D Wagner,76720
B Schneier,76720
J Kelsey,76720
I Goldberg,365210
D Wagner,365210
D Wagner,335546
S Bellovin,335546
M Bellare,42164
A Desai,42164
E Jokipii,42164
P Rogaway,42164
L Gong,464764
P Syverson,627147
A Pfitzmann,627869
R Amann,627869
P Sudame,805155
B Badrinath,805155
R Campbell,881040
D Sturman,881040
T Tock,881040
D Engler,57737
D Wallach,57737
M Kaashoek,57737
D Mazieres,1105694
M Bellare,1111454
S Goldwasser,1111454
I Cyliax,1114065
S Johnson,1114065
B Bose,1114065
J Cavalaris,1120283
G Lee,1120283
S Hariharan,1120283
A Rahul,1120283
D Boneh,1114717
R Lipton,1114717
H Gutowitz,1131394
M Bellare,672073
A Desai,672073
D Pointcheval,672073
P Rogaway,672073
A Adams,1133833
P McDaniel,1133833
D Stephenson,1133833
T Baldin,1130527
G Bleumer,1130527
B Pfitzmann,1130512
P Janson,1138154
G Tsudik,1138154
T Sander,741864
C Tschudin,741864
M Luby,1135516
J Staddon,1135516
C Shi,1136683
B Bhargava,1136683
G Tsudik,1138160
E VanHerreweghen,1138160
M Debbabi,1139149
M Mejri,1139149
N Tawbi,1139149
I Yahmadi,1139149
M Bellare,2149
P Rogaway,2149
S McKee,617373
W Wulf,617373
C Trevor,617373
G Bleumer,1153174
M Bellare,156656
P Rogaway,156656
M Bellare,2146
P Rogaway,2146
P Kirstein,1154477
G MontasserKohsari,1154477
J Kilian,1154602
E Petrank,1154602
A Yasinsac,373054
M Bellare,543710
P Rogaway,543710
E Nahum,347249
O Sean,347249
M Orman,347249
R Schroeppel,347249
J Bekmann,1139134
P DeGoede,1139134
A Hutchison,1139134
M Bellare,2140
O Goldreich,2140
S Goldwasser,2140
P Kocher,56329
R Canetti,2172
O Goldreich,2172
S Halevi,2172
L Gong,27328
R Needham,27328
R Yahalom,27328
M Abadi,123842
A Gordon,123842
Y Chu,294033
J Feigenbaum,294033
B LaMacchia,294033
P Resnick,294033
M Strauss,294033
M Naor,62661
A Shamir,62661
M Bellare,340278
P Rogaway,340278
M Franklin,391021
A Herzberg,651582
M Luby,651582
L Gong,1109846
J Kelsey,1122641
B Schneier,1122641
D Wagner,1122641
C Hall,1122641
R Kailar,191067
V Gligor,191067
L Gong,191067
J Gray,1140911
K Fai,1140911
E Ip,1140911
K Lui,1140911
D DePaoli,265656
A Goscinski,265656
A Chitturi,1152586
I Chuang,185
R Laflamme,185
P Shor,185
W Zurek,185
E Ginzton,185
M Bellare,2139
O Goldreich,2139
M Bellare,2147
P Rogaway,2147
D Boneh,2161
R DeMillo,2161
R Lipton,2161
S Even,2161
O Goldreich,2161
O Goldreich,2228
H Krawczyk,2228
R Impagliazzo,2248
S Rudich,2248
D Davis,19716
H Gobioff,29610
G Gibson,29610
D Tygar,29610
S Bellovin,64599
M Merritt,64599
L Gong,65947
P Syverson,65947
S Halevi,84258
H Krawczyk,84258
R Canetti,161579
U Feige,161579
O Goldreich,161579
M Naor,161579
N Asokan,112064
M Naor,2268
R Ostrovsky,2268
R Venkatesan,2268
M Yung,2268
L Gong,117486
H Chau,127621
H Lo,127621
L Gong,191062
T Mark,191062
A Lomas,191062
R Needham,191062
J Saltzer,191062
G Bella,38432
L Paulson,38432
A Blum,178627
M Furst,178627
M Kearns,178627
R Lipton,178627
C Schnorr,297114
S Vaudenay,297114
T Woo,71517
R Bindignavle,71517
S Su,71517
S Lam,71517
R Canetti,472582
D Micciancio,472582
O Reingold,472582
M Bellare,26969
R Canetti,26969
H Krawczyk,26969
C Blundo,582211
A DeSantis,582211
D Stinson,582211
J Bennet,652991
E Brickell,182001
D Gordon,182001
K McCurley,182001
D Wilson,182001
L Gong,24887
P Long,42221
M Warmuth,42221
S Bellovin,206146
M Merritt,206146
M Franklin,626993
M Yung,626993
R Hauser,116412
M Steiner,116412
M Waidner,116412
P Cheng,466610
J Garay,466610
A Herzberg,466610
H Krawczyk,466610
C Gunter,862155
T Jim,862155
V Gligor,206156
R Kailar,206156
S Stubblebine,206156
L Gong,206156
R Gennaro,1106876
D Micciancio,1106876
T Rabin,1106876
M Zimand,1107520
D Boneh,1107936
J Horwitz,1107936
H Lo,1108290
H Chau,1108290
A Russell,1108824
L Paulson,1087658
Y Frankel,276944
P Gemmell,276944
P MacKenzie,276944
M Yung,276944
S Halevi,1111016
S Micali,1111016
D Boneh,1111511
N Bshouty,95225
T Hancock,95225
L Hellerstein,95225
D Wagner,1087665
B Schneier,1087665
S Decatur,1115252
O Goldreich,1115252
D Ron,1115252
D Scott,1128545
W Alexander,1128545
A Arbaugh,1128545
S Keromytis,1128545
J Smith,1128545
A Yasinsac,826826
W Wulf,826826
G Ateniese,62649
C Blundo,62649
A DeSantis,62649
D Stinson,62649
B Ran,1119777
C Shai,1119777
H Herzberg,1119777
R Micali,1119071
D Stinson,1128681
P Tadepalli,1116454
S Russell,1116454
M Bellare,681550
M Yung,681550
M Blaze,1127008
J Feigenbaum,1127008
J Lacy,1127008
G Bleumer,1126945
P Devanbu,294036
S Stubblebine,294036
H Orman,347252
O Sean,347252
M Richard,347252
S Schwartz,347252
D Maughan,65956
M Schertler,65956
M Schneider,65956
J Turner,65956
M Franklin,1137816
G Tsudik,1137816
M Burmester,1139117
Y Desmedt,1139117
G Kabatianski,1139117
O Goldreich,1102451
B DeDecker,1139126
F Piessens,1139126
J AlvesFoss,1139127
T Soule,1139127
C Boyd,1139128
A Huima,1139132
T Aura,1139132
R Gennaro,75004
S Micali,75004
L Foner,282140
M Bellare,2142
S Goldwasser,2142
D Micciancio,2142
M Bellare,2137
R Canetti,2137
H Krawczyk,2137
M Bellare,2138
R Canetti,2138
H Krawczyk,2138
C Thirunavukkarasu,282137
T Finin,282137
J Mayfield,282137
G Bleumer,1153712
B Pfitzmann,139686
M Waidner,139686
R Kailar,364020
V Gligor,364020
S Stubblebine,364020
R Anderson,1154438
B Pfitzmann,1130522
M Waidner,1130522
D Wagner,162282
D Wagner,42283
J Kelsey,76646
B Schneier,76646
D Wagner,76646
C Hall,76646
E Minnehaha,76646
D Wagner,1107202
J Kelsey,76643
B Schneier,76643
D Wagner,76643
E Minnehaha,76643
S Wilson,1121329
D MacKay,1121329
D Davis,1130476
W Marrero,7729
E Clarke,7729
S Jha,7729
N Asokan,804691
G Tsudik,804691
M Waidner,804691
W Marrero,1139119
E Clarke,1139119
S Jha,1139119
M Blum,1897
S Kannan,1897
M Bellare,2148
P Rogaway,2148
R Canetti,2174
S Halevi,2174
A Herzberg,2174
G Necula,582174
P Lee,582174
M Abadi,70814
C Gunter,86494
S Nettles,86494
J Smith,86494
D Micciancio,120375
A Herzberg,2244
M Jakobsson,2244
S Jarecki,2244
H Krawczyk,2244
M Yung,2244
M Bellare,116410
J Garay,116410
R Hauser,116410
A Herzberg,116410
H Krawczyk,116410
M Steiner,116410
G Tsudik,116410
M Waidner,116410
C Cachin,123312
J Boyar,226879
R Peralta,226879
G Vigna,741898
R Impagliazzo,407057
D Boneh,1102617
R Lipton,1102617
J Xu,1102789
M Singhal,1102789
M Sirbu,1103269
J Chuang,1103269
N Weaver,1103990
C Cachin,1104064
M Bellare,181991
J Garay,181991
T Rabin,181991
M Burmester,1113447
R Rivest,1113447
A Shamir,1113447
A Rubin,1114242
J Kienzle,1120301
A Project,1120301
G Blelloch,1123295
R Rivest,1115941
J Linnartz,1121056
J Talstra,1121056
M Blaze,546026
J Feigenbaum,546026
M Strauss,546026
U Feige,1153759
S Goldwasser,1153759
A Kahng,709559
J Lach,709559
W MangioneSmith,709559
S Mantik,709559
I Markov,709559
M Potkonjak,709559
P Tucker,709559
H Wang,709559
G Wolfe,709559
G Necula,1152428
G Necula,1152454
G Necula,1153705
G Necula,1153285
G Necula,1152770
R Canetti,2168
M Bellare,681546
P Kumar,1152996
G Necula,1153240
G Necula,1154707
A Myers,7099
B Liskov,7099
A Beimel,595808
B Chor,595808
C Cachin,123313
U Maurer,123313
G Tsudik,160037
E VanHerreweghen,160037
E Selberg,1112779
J Kilian,1111643
T Leighton,1111643
C Cachin,1116854
R Gennaro,2218
S Jarecki,2218
H Krawczyk,2218
T Rabin,2218
R Gennaro,146790
M Rabin,146790
T Rabin,146790
C Cachin,1118438
J Millen,1152082
M Ranum,1154451
A Juels,2250
M Luby,2250
R Ostrovsky,2250
J Wack,626897
M Crosbie,423863
P Spafford,423863
S Drossopoulou,29946
S Eisenbach,29946
S Forrest,43706
S Hofmeyr,43706
A Somayaji,43706
T Longstaff,43706
J Goguen,667491
T Lane,1104420
C Brodley,1104420
A Siebert,1104420
D Good,1104420
I Krsul,1154431
T Lane,1137189
C Brodley,1137189
E Spafford,1137392
M Bishop,1137415
G Vigna,1140929
L Gong,51062
X Qian,51062
D Mazieres,1107638
M Frans,1107638
J Kelsey,1087639
B Schneier,1087639
D Wagner,1087639
E Minnehaha,1087639
B Guha,1141040
B Mukherjee,1141040
P Kirstein,1137644
G MontasserKohsari,1137644
V Shoup,340294
R Gennaro,340294
D Safford,632279
D Lee,632279
D Hess,632279
D Martin,441960
J Sivaramakrishnan,441960
R Aviel,441960
D Rubin,441960
B Cocosel,1140914
J Mogul,17845
P Devanbu,265125
P Fong,265125
S Stubblebine,265125
M Livny,41136
R Ramakrishnan,41136
K Beyer,41136
G Chen,41136
D Donjerkovic,41136
S Lawande,41136
J Myllymaki,41136
K Wenger,41136
A Goldberg,1134161
R Buff,1134161
A Schmitt,1134161
J Mitchell,889814
V Shmatikov,889814
U Stern,889814
S Bellovin,780733
S Funfrocken,1133461
S Mittra,1134076
T Woo,1134076
A Muffett,1137362
P Janson,1138156
G Tsudik,1138156
M Yung,1138156
H Orman,1139244
R Oppliger,1122698
D Hogrefe,1122698
G Vigna,1140927
J Xu,425213
M Singhal,425213
G Xie,37553
S Lam,37553
D Yau,87403
S Lam,87403
P Pan,790569
H Schulzrinne,790569
O Spatscheck,1109273
J Hansen,1109273
J Hartman,1109273
L Peterson,1109273
A Luotonen,811604
K Altis,811604
J Bryan,1137192
L Christoph,1137192
L Schuba,1137192
D Davis,426788
D Geer,426788
S Openvision,426788
T Ts,426788
M West,426788
J Kohl,71508
D Atkins,1137322
J Schiller,1137322
L Gould,1137322
G Bella,698953
E Riccobene,698953
J Kohl,19720
B Clifford,19720
N Theodore,19720
Y Ts,19720
A Fox,105911
S Gribble,105911
L Joncheray,446552
D Safford,785012
D Hess,785012
D Schales,785012
P McDaniel,1133836
P Honeyman,1133836
A Prakash,1133836
V Ratnakar,1110110
M Livny,1110110
B Jung,1123046
W Burleson,1123046
M Alzina,1136895
W Szpankowski,1136895
A Grama,1136895
S Sahni,1139484
B Vemuri,1139484
F Chen,1139484
C Kapoor,1139484
C Leonard,1139484
J Fitzsimmons,1139484
V Sahni,1139484
J Fowlery,1108360
R Yagelz,1108360
J Rossignac,1108360
D Banks,1122116
M Stemm,1122116
D Arnaud,1136888
W Szpankowski,1136888
K Seamons,661013
M Winslett,661013
J Danskin,531007
P Hanrahan,531007
A Zandi,632155
J Allen,632155
E Schwartz,632155
M Boliek,632155
M Atallah,1154404
Y Genin,1154404
W Szpankowski,1154404
C Coffing,1111937
J Brown,1111937
P Howard,490802
J Vitter,490802
W Keong,1133328
N Sunghyun,1133328
C Chinya,1133328
V Ravishankar,1133328
Y Zhao,18806
P Deshpande,18806
J Naughton,18806
M Krunz,213584
S Tripathi,213584
A Beers,242902
M Agrawala,242902
N Chaddha,242902
M Farach,463615
M Thorup,463615
B Guenter,524086
H Cheol,524086
R Mersereau,524086
J Goldstein,712261
R Ramakrishnan,712261
U Shaft,712261
D Grinberg,736217
S Rajagopalan,736217
U Boston,736217
R Venkatesan,736217
V Wei,736217
C Hong,736217
E Posnak,505888
H Vin,505888
R Lavender,505888
M Siegel,1105327
S Sethuraman,1105327
J McVeigh,1105327
A David,1105327
M Dahlin,1111396
I Hsu,152615
J Walrand,152615
E Schwartz,1136914
A Zandi,1136914
M Boliek,1136914
S Grace,45020
B Chang,45020
M Vetterli,45020
T Hofmann,227401
J Buhmann,227401
W Spears,447224
G Davis,1146394
B Evans,746737
J Teich,746737
C Schwarz,746737
J Danskin,1153678
H Chao,1130726
P Fisher,1130726
Z Hua,1130726
Z Sijercic,1124067
G Agarwal,1124067
C Anderson,1124067
K Curewitz,3148
P Krishnan,3148
J Vitter,3148
D Hoang,1116607
P Long,1116607
J Vitter,1116607
D VanCampenhout,1133676
T Mudge,1133676
S Albers,1045994
M Mitzenmacher,1045994
K Shimizu,1136851
G George,1136851
G Zha,1138331
D Knight,1138331
D Smith,1138331
G Davis,1146393
M Krunz,4609
H Hughes,4609
E Amir,11493
S McCanne,11493
M Vetterli,11493
H Frystyk,58588
N Consortium,58588
J Gettys,58588
A BairdSmith,58588
E Prudhommeaux,58588
H Wium,58588
C Lie,58588
A Moffat,60265
J Zobel,60265
B Jawerth,1130703
W Sweldens,1130703
B Orn,632873
J Yz,632873
A Wim,632873
S Yx,632873
W Tan,169489
E Chang,169489
A Zakhor,169489
P Nordin,94641
W Banzhaf,94641
P Howard,434712
J Vitter,434712
D Hoang,485870
P Long,485870
J Vitter,485870
M Hilton,485870
B Jawerth,485870
A Sengupta,485870
T Johnson,734152
R NewmanWolfe,734152
T Chang,752384
V Michael,752384
J Bove,752384
D Bader,13014
J JaJa,13014
R Chellappa,13014
A Broder,1104398
M Mitzenmacher,1104398
P Shenoy,1107450
H Vin,1107450
S Sethuraman,63204
M Siegel,63204
B Evans,310470
F Ayhan,310470
S Fakultesi,310470
Y Fisher,1121322
D Rogovin,1121322
T Shen,1121322
S Grace,1123183
C Bin,1123183
Y Vetterli,1123183
B Gopinath,1116769
V Phalke,1116769
P Howard,311290
